congress|bill_number|bill_type|policy_area|sponsor_name|sponsor_lastname|sponsor_state|sponsor_party
111|6205|hr|Government Operations and Politics|JOSEPH|CROWLEY|NY|D
111|5702|hr|Government Operations and Politics|ELEANOR|NORTON|DC|D
111|6547|hr|Education|GEORGE|MILLER|CA|D
111|5493|hr|Congress|ELEANOR|NORTON|DC|D
111|5446|hr|Government Operations and Politics|Bill|Posey|FL|R
111|6494|hr|Armed Forces and National Security|GENE|TAYLOR|MS|D
111|5367|hr|Government Operations and Politics|ELEANOR|NORTON|DC|D
111|6397|hr|Immigration|JOHN|DUNCAN|TN|R
111|1064|hr|Crime and Law Enforcement|Robert|Scott|VA|D
111|1174|hr|Emergency Management|JAMES|OBERSTAR|MN|D
111|1425|hr|Immigration|ROBERT|WEXLER|FL|D
111|3376|hr|Transportation and Public Works|FRANK|LOBIONDO|NJ|R
111|4678|hr|Law|Betty|Sutton|OH|D
111|5105|hr|Emergency Management|Mike|Rogers|AL|R
111|5498|hr|Emergency Management|WILLIAM|PASCRELL|NJ|D
111|6116|hr|Congress|JOHN|LARSON|CT|D
111|6570|hr|Health|Jeff|Fortenberry|NE|R
111|2811|hr|Crime and Law Enforcement|Kendrick|Meek|FL|D
111|5142|hr|Taxation|Allyson|Schwartz|PA|D
111|6563|hr|Education|RUSH|HOLT|NJ|D
111|6562|hr|Housing and Community Development|CORRINE|BROWN|FL|D
111|6568|hr|Environmental Protection|Edward|Markey|MA|D
111|6566|hr|Crime and Law Enforcement|PETER|KING|NY|R
111|6565|hr|International Affairs|SHEILA|JACKSON LEE|TX|D
111|6564|hr|Energy|JAY|INSLEE|WA|D
111|6567|hr|Armed Forces and National Security|CAROLYN|MALONEY|NY|D
111|6569|hr|Social Welfare|Linda|Sánchez|CA|D
111|6470|hr|Government Operations and Politics|Eni|Faleomavaega|AS|D
111|6421|hr|Law|BOB|FILNER|CA|D
111|6195|hr|Law|GARY|MILLER|CA|R
111|5895|hr|Law|MAXINE|WATERS|CA|D
111|6500|hr|Civil Rights and Liberties, Minority Issues|JERROLD|NADLER|NY|D
111|6440|hr|Civil Rights and Liberties, Minority Issues|PETER|HOEKSTRA|MI|R
111|6381|hr|Government Operations and Politics|Gregorio|Sablan|MP|D
111|6250|hr|Congress|Devin|Nunes|CA|R
111|6431|hr|Finance and Financial Sector|JIM|MCDERMOTT|WA|D
111|6308|hr|Science, Technology, Communications|ROSCOE|BARTLETT|MD|R
111|6236|hr|Crime and Law Enforcement|ADAM|SCHIFF|CA|D
111|6202|hr|Government Operations and Politics|ROBERT|BRADY|PA|D
111|6508|hr|Crime and Law Enforcement|Laura|Richardson|CA|D
111|6506|hr|Crime and Law Enforcement|PETER|KING|NY|R
111|6391|hr|Crime and Law Enforcement|ANTHONY|WEINER|NY|D
111|6378|hr|Health|Peter|Roskam|IL|R
111|6266|hr|Crime and Law Enforcement|LORETTA|SANCHEZ|CA|D
111|6245|hr|Crime and Law Enforcement|Henry|Johnson|GA|D
111|6235|hr|Crime and Law Enforcement|Michael|McMahon|NY|D
111|6214|hr|Crime and Law Enforcement|JERROLD|NADLER|NY|D
111|6137|hr|Crime and Law Enforcement|STEVE|ISRAEL|NY|D
111|6505|hr|Immigration|Al|Green|TX|D
111|6497|hr|Immigration|HOWARD|BERMAN|CA|D
111|6438|hr|Immigration|Parker|Griffith|AL|R
111|6433|hr|International Affairs|Anh|Cao|LA|R
111|6396|hr|Immigration|ZOE|LOFGREN|CA|D
111|6365|hr|Immigration|JAMES|MCGOVERN|MA|D
111|6327|hr|Immigration|Charles|Djou|HI|R
111|6296|hr|International Affairs|BRAD|SHERMAN|CA|D
111|6242|hr|Immigration|Travis|Childers|MS|D
111|6189|hr|Government Operations and Politics|EDWARD|WHITFIELD|KY|R
111|6179|hr|Immigration|Charles|Djou|HI|R
111|6151|hr|Government Operations and Politics|ROBERT|BRADY|PA|D
111|6499|hr|Private Legislation|JOHN|CONYERS|MI|D
111|6424|hr|Private Legislation|BOB|FILNER|CA|D
111|6414|hr|Private Legislation|JANICE|SCHAKOWSKY|IL|D
111|6158|hr|Private Legislation|LUCILLE|ROYBAL-ALLARD|CA|D
111|6125|hr|Private Legislation|ED|PASTOR|AZ|D
111|4915|hr|Transportation and Public Works|JAMES|OBERSTAR|MN|D
111|6399|hr|Congress|ROBERT|BRADY|PA|D
111|6184|hr|Water Resources Development|RICK|LARSEN|WA|D
111|3237|hr|Science, Technology, Communications|JOHN|CONYERS|MI|D
111|2480|hr|Commerce|JAMES|MORAN|VA|D
111|5281|hr|Law|Henry|Johnson|GA|D
111|6546|hr|Transportation and Public Works|Mazie|Hirono|HI|D
111|4853|hr|Transportation and Public Works|JAMES|OBERSTAR|MN|D
111|2062|hr|Animals|PETER|DEFAZIO|OR|D
111|738|hr|Crime and Law Enforcement|Robert|Scott|VA|D
111|5510|hr|Housing and Community Development|MARCY|KAPTUR|OH|D
111|3817|hr|Finance and Financial Sector|PAUL|KANJORSKI|PA|D
111|3818|hr|Finance and Financial Sector|PAUL|KANJORSKI|PA|D
111|3890|hr|Finance and Financial Sector|PAUL|KANJORSKI|PA|D
111|6555|hr|Health|Steve|King|IA|R
111|6553|hr|Energy|ELIOT|ENGEL|NY|D
111|6556|hr|Labor and Employment|BARBARA|LEE|CA|D
111|6554|hr|Government Operations and Politics|JAY|INSLEE|WA|D
111|6550|hr|Economics and Public Finance|DENNIS|KUCINICH|OH|D
111|6549|hr|Foreign Trade and International Finance|Linda|Sánchez|CA|D
111|6548|hr|Crime and Law Enforcement|Robert|Scott|VA|D
111|6552|hr|Agriculture and Food|ROSA|DELAURO|CT|D
111|6559|hr|Private Legislation|Chellie|Pingree|ME|D
111|6551|hr|Education|JOSEPH|CROWLEY|NY|D
111|6557|hr|Government Operations and Politics|BRAD|SHERMAN|CA|D
111|6545|hr|Crime and Law Enforcement|JOHN|CONYERS|MI|D
111|6544|hr|Crime and Law Enforcement|JOHN|CONYERS|MI|D
111|6558|hr|Private Legislation|Steve|Driehaus|OH|D
111|6543|hr|Health|JOHN|DINGELL|MI|D
111|6542|hr|Crime and Law Enforcement|SHEILA|JACKSON LEE|TX|D
111|6541|hr|Energy|JEFF|FLAKE|AZ|R
111|2868|hr|Emergency Management|BENNIE|THOMPSON|MS|D
111|6537|hr|Health|JOHN|LEWIS|GA|D
111|6538|hr|Taxation|Connie|Mack|FL|R
111|6535|hr|International Affairs|BOBBY|RUSH|IL|D
111|6531|hr|Finance and Financial Sector|Scott|Garrett|NJ|R
111|6532|hr|International Affairs|Keith|Ellison|MN|D
111|6530|hr|Science, Technology, Communications|JAY|INSLEE|WA|D
111|6527|hr|Native Americans|NORMAN|DICKS|WA|D
111|6539|hr|Agriculture and Food|ANTHONY|WEINER|NY|D
111|6529|hr|Finance and Financial Sector|DENNIS|MOORE|KS|D
111|6534|hr|Sports and Recreation|MIKE|DOYLE|PA|D
111|6536|hr|Labor and Employment|GENE|GREEN|TX|D
111|6528|hr|Health|Timothy|Walz|MN|D
111|6118|hr|Government Operations and Politics|ELEANOR|NORTON|DC|D
111|4994|hr|Taxation|JOHN|LEWIS|GA|D
111|6524|hr|Private Legislation|ROBERT|BRADY|PA|D
111|6522|hr|Taxation|Michele|Bachmann|MN|R
111|6526|hr|Congress|Bill|Posey|FL|R
111|6525|hr|Native Americans|Ann|Kirkpatrick|AZ|D
111|6387|hr|Government Operations and Politics|MIKE|THOMPSON|CA|D
111|6237|hr|Government Operations and Politics|MIKE|THOMPSON|CA|D
111|6166|hr|Finance and Financial Sector|DENNY|REHBERG|MT|R
111|6162|hr|Finance and Financial Sector|MELVIN|WATT|NC|D
111|5773|hr|Government Operations and Politics|ELIJAH|CUMMINGS|MD|D
111|5758|hr|Government Operations and Politics|BARNEY|FRANK|MA|D
111|5706|hr|Government Operations and Politics|John|Salazar|CO|D
111|5651|hr|Government Operations and Politics|Stephanie|Herseth Sandlin|SD|D
111|4387|hr|Government Operations and Politics|Jeff|Miller|FL|R
111|5282|hr|Transportation and Public Works|John|Barrow|GA|D
111|848|hr|Commerce|JOHN|CONYERS|MI|D
111|6521|hr|International Affairs|ILEANA|ROS-LEHTINEN|FL|R
111|6519|hr|Transportation and Public Works|JAMES|OBERSTAR|MN|D
111|6481|hr|Emergency Management|Laura|Richardson|CA|D
111|6446|hr|Armed Forces and National Security|BART|STUPAK|MI|D
111|6443|hr|Armed Forces and National Security|DANA|ROHRABACHER|CA|R
111|6518|hr|Transportation and Public Works|BOBBY|RUSH|IL|D
111|5566|hr|Crime and Law Enforcement|ELTON|GALLEGLY|CA|R
111|5283|hr|Immigration|Jeff|Fortenberry|NE|R
111|1722|hr|Government Operations and Politics|John|Sarbanes|MD|D
111|5811|hr|Native Americans|SILVESTRE|REYES|TX|D
111|476|hr|Housing and Community Development|Al|Green|TX|D
111|5012|hr|Education|Dina|Titus|NV|D
111|4501|hr|Commerce|ANTHONY|WEINER|NY|D
111|3353|hr|Crime and Law Enforcement|Gregorio|Sablan|MP|D
111|6513|hr|Armed Forces and National Security|Jeff|Fortenberry|NE|R
111|6509|hr|Transportation and Public Works|Laura|Richardson|CA|D
111|6512|hr|Health|Zachary|Space|OH|D
111|6514|hr|Commerce|Robert|Latta|OH|R
111|6511|hr|Environmental Protection|Ted|Poe|TX|R
111|6515|hr|Taxation|Linda|Sánchez|CA|D
111|4783|hr|Taxation|SANDER|LEVIN|MI|D
111|3190|hr|Commerce|Henry|Johnson|GA|D
111|6495|hr|Labor and Employment|GEORGE|MILLER|CA|D
111|5987|hr|Social Welfare|EARL|POMEROY|ND|D
111|6502|hr|Health|CHARLES|GONZALEZ|TX|D
111|6501|hr|Government Operations and Politics|JOHN|CONYERS|MI|D
111|6507|hr|Government Operations and Politics|Daniel|Lipinski|IL|D
111|6504|hr|Taxation|BOB|FILNER|CA|D
111|6503|hr|Armed Forces and National Security|Bruce|Braley|IA|D
111|3655|hr|Commerce|BOBBY|RUSH|IL|D
111|6496|hr|Armed Forces and National Security|BOBBY|RUSH|IL|D
111|6498|hr|Families|CAROLYN|MCCARTHY|NY|D
111|6493|hr|Public Lands and Natural Resources|John|Salazar|CO|D
111|6490|hr|Public Lands and Natural Resources|Cynthia|Lummis|WY|R
111|6469|hr|Education|GEORGE|MILLER|CA|D
111|6472|hr|Crime and Law Enforcement|Heath|Shuler|NC|D
111|6492|hr|Government Operations and Politics|Ted|Poe|TX|R
111|6484|hr|Taxation|Devin|Nunes|CA|R
111|6489|hr|Health|Mazie|Hirono|HI|D
111|6488|hr|Taxation|DANNY|DAVIS|IL|D
111|6487|hr|Law|Judy|Chu|CA|D
111|6491|hr|Taxation|CAROLYN|MALONEY|NY|D
111|6483|hr|Transportation and Public Works|Laura|Richardson|CA|D
111|6482|hr|Environmental Protection|Laura|Richardson|CA|D
111|6486|hr|Animals|Rob|Bishop|UT|R
111|6485|hr|Animals|Rob|Bishop|UT|R
111|6480|hr|Foreign Trade and International Finance|Russ|Carnahan|MO|D
111|6479|hr|Foreign Trade and International Finance|Russ|Carnahan|MO|D
111|6478|hr|Foreign Trade and International Finance|Russ|Carnahan|MO|D
111|6477|hr|Foreign Trade and International Finance|Russ|Carnahan|MO|D
111|6476|hr|Foreign Trade and International Finance|Russ|Carnahan|MO|D
111|6475|hr|Foreign Trade and International Finance|Russ|Carnahan|MO|D
111|6474|hr|Transportation and Public Works|Steve|Kagen|WI|D
111|6461|hr|Education|Thomas|Perriello|VA|D
111|6434|hr|Public Lands and Natural Resources|Kathy|Castor|FL|D
111|3245|hr|Crime and Law Enforcement|Robert|Scott|VA|D
111|5866|hr|Energy|BART|GORDON|TN|D
111|5953|hr|Armed Forces and National Security|BOB|FILNER|CA|D
111|6411|hr|International Affairs|ILEANA|ROS-LEHTINEN|FL|R
111|6468|hr|Housing and Community Development|Keith|Ellison|MN|D
111|6467|hr|Taxation|SANDER|LEVIN|MI|D
111|6466|hr|Armed Forces and National Security|SHEILA|JACKSON LEE|TX|D
111|6471|hr|Armed Forces and National Security|Doug|Lamborn|CO|R
111|6465|hr|Water Resources Development|Dan|Boren|OK|D
111|6464|hr|Emergency Management|JAMES|OBERSTAR|MN|D
111|6463|hr|Commerce|JOSEPH|CROWLEY|NY|D
111|5712|hr|Health|SANDER|LEVIN|MI|D
111|233|hr|Commerce|Tammy|Baldwin|WI|D
111|2267|hr|Commerce|BARNEY|FRANK|MA|D
111|3290|hr|Immigration|CAROLYN|MALONEY|NY|D
111|42|hr|Civil Rights and Liberties, Minority Issues|XAVIER|BECERRA|CA|D
111|5562|hr|Emergency Management|Laura|Richardson|CA|D
111|5112|hr|Government Operations and Politics|Russ|Carnahan|MO|D
111|6460|hr|Housing and Community Development|MARCY|KAPTUR|OH|D
111|6459|hr|Health|CHARLES|GONZALEZ|TX|D
111|6462|hr|Agriculture and Food|Allyson|Schwartz|PA|D
111|6458|hr|Taxation|JIM|MCDERMOTT|WA|D
111|6457|hr|Taxation|JIM|MCDERMOTT|WA|D
111|6456|hr|Labor and Employment|MARCY|KAPTUR|OH|D
111|6455|hr|Taxation|CHAKA|FATTAH|PA|D
111|6448|hr|Government Operations and Politics|MARK|KIRK|IL|R
111|6454|hr|Health|GARY|ACKERMAN|NY|D
111|6453|hr|Health|GARY|ACKERMAN|NY|D
111|6452|hr|Health|GARY|ACKERMAN|NY|D
111|6451|hr|Health|GARY|ACKERMAN|NY|D
111|6450|hr|Health|GARY|ACKERMAN|NY|D
111|6449|hr|Health|GARY|ACKERMAN|NY|D
111|6423|hr|Emergency Management|BENNIE|THOMPSON|MS|D
111|6410|hr|Transportation and Public Works|Edward|Markey|MA|D
111|6445|hr|Public Lands and Natural Resources|JOHN|SPRATT|SC|D
111|6426|hr|Public Lands and Natural Resources|RON|KIND|WI|D
111|6384|hr|Labor and Employment|BRAD|SHERMAN|CA|D
111|6367|hr|Economics and Public Finance|Jerry|Moran|KS|R
111|6359|hr|Labor and Employment|Daniel|Maffei|NY|D
111|6099|hr|Taxation|RICHARD|NEAL|MA|D
111|6268|hr|Labor and Employment|Phil|Hare|IL|D
111|6108|hr|Education|Michael|Burgess|TX|R
111|6362|hr|Education|CAROLYN|MCCARTHY|NY|D
111|6361|hr|Crime and Law Enforcement|CAROLYN|MCCARTHY|NY|D
111|6356|hr|Education|David|Loebsack|IA|D
111|6324|hr|Education|DANNY|DAVIS|IL|D
111|6258|hr|Health|Marcia|Fudge|OH|D
111|6222|hr|Social Welfare|JAMES|MCGOVERN|MA|D
111|6374|hr|Education|DONALD|PAYNE|NJ|D
111|6248|hr|Education|MICHAEL|HONDA|CA|D
111|6194|hr|Environmental Protection|Jared|Polis|CO|D
111|6142|hr|Labor and Employment|Paul|Tonko|NY|D
111|6141|hr|Labor and Employment|Joe|Sestak|PA|D
111|6106|hr|Education|ANTHONY|WEINER|NY|D
111|6355|hr|Education|David|Loebsack|IA|D
111|6302|hr|Education|Jason|Altmire|PA|D
111|6274|hr|Education|SUSAN|DAVIS|CA|D
111|6244|hr|Education|Jared|Polis|CO|D
111|6229|hr|Education|Judy|Chu|CA|D
111|6204|hr|Education|Judy|Chu|CA|D
111|6174|hr|Education|Judy|Chu|CA|D
111|6172|hr|Education|Timothy|Bishop|NY|D
111|6419|hr|Labor and Employment|JIM|MCDERMOTT|WA|D
111|4347|hr|Native Americans|Dan|Boren|OK|D
111|6442|hr|Social Welfare|Chellie|Pingree|ME|D
111|6430|hr|Armed Forces and National Security|Walter|Minnick|ID|D
111|6432|hr|International Affairs|Anh|Cao|LA|R
111|6447|hr|Commerce|BENNIE|THOMPSON|MS|D
111|6429|hr|Crime and Law Enforcement|PETER|HOEKSTRA|MI|R
111|6437|hr|Health|ELIOT|ENGEL|NY|D
111|6427|hr|Health|JOHN|DINGELL|MI|D
111|6436|hr|Labor and Employment|JOHN|CONYERS|MI|D
111|6435|hr|Education|Judy|Chu|CA|D
111|6444|hr|Health|DANA|ROHRABACHER|CA|R
111|6441|hr|Transportation and Public Works|JOHN|LEWIS|GA|D
111|6428|hr|Taxation|Jackie|Speier|CA|D
111|6439|hr|Taxation|ALCEE|HASTINGS|FL|D
111|6425|hr|Education|RUSH|HOLT|NJ|D
111|6405|hr|Public Lands and Natural Resources|BENNIE|THOMPSON|MS|D
111|3808|hr|Law|ROBERT|ADERHOLT|AL|R
111|6422|hr|Transportation and Public Works|BART|STUPAK|MI|D
111|6416|hr|Government Operations and Politics|RON|PAUL|TX|R
111|6418|hr|Agriculture and Food|LEONARD|BOSWELL|IA|D
111|6420|hr|Finance and Financial Sector|John|Adler|NJ|D
111|6415|hr|Taxation|MIKE|PENCE|IN|R
111|6417|hr|Science, Technology, Communications|Doug|Lamborn|CO|R
111|6406|hr|Economics and Public Finance|MIKE|PENCE|IN|R
111|5748|hr|Civil Rights and Liberties, Minority Issues|JOHN|CONYERS|MI|D
111|6413|hr|Social Welfare|ANTHONY|WEINER|NY|D
111|6407|hr|Education|TOM|PETRI|WI|R
111|6409|hr|Transportation and Public Works|F.|SENSENBRENNER|WI|R
111|6408|hr|Transportation and Public Works|F.|SENSENBRENNER|WI|R
111|6375|hr|Agriculture and Food|JOSEPH|PITTS|PA|R
111|6342|hr|Agriculture and Food|TIM|HOLDEN|PA|D
111|6341|hr|Agriculture and Food|TIM|HOLDEN|PA|D
111|6338|hr|Agriculture and Food|Stephanie|Herseth Sandlin|SD|D
111|6333|hr|Commerce|SAM|GRAVES|MO|R
111|6325|hr|Agriculture and Food|ROSA|DELAURO|CT|D
111|6276|hr|Animals|Carol|Shea-Porter|NH|D
111|6273|hr|Environmental Protection|COLLIN|PETERSON|MN|D
111|6246|hr|Housing and Community Development|EARL|POMEROY|ND|D
111|6180|hr|Agriculture and Food|John|Hall|NY|D
111|6087|hr|Agriculture and Food|FRANK|LUCAS|OK|R
111|6057|hr|Agriculture and Food|William|Owens|NY|D
111|6038|hr|Finance and Financial Sector|DARRELL|ISSA|CA|R
111|6024|hr|Agriculture and Food|ROSA|DELAURO|CT|D
111|5965|hr|Public Lands and Natural Resources|ALAN|MOLLOHAN|WV|D
111|5779|hr|Agriculture and Food|James|Himes|CT|D
111|5735|hr|Public Lands and Natural Resources|Dean|Heller|NV|R
111|5673|hr|Public Lands and Natural Resources|Paul|Broun|GA|R
111|5672|hr|Public Lands and Natural Resources|Paul|Broun|GA|R
111|5656|hr|Agriculture and Food|Gwen|Moore|WI|D
111|5645|hr|Public Lands and Natural Resources|Devin|Nunes|CA|R
111|5578|hr|Agriculture and Food|DENNIS|KUCINICH|OH|D
111|5577|hr|Agriculture and Food|DENNIS|KUCINICH|OH|D
111|5574|hr|Social Welfare|TOM|PETRI|WI|R
111|1997|hr|Transportation and Public Works|Jim|Gerlach|PA|R
111|512|hr|Government Operations and Politics|SUSAN|DAVIS|CA|D
111|758|hr|Health|DIANA|DEGETTE|CO|D
111|1032|hr|Health|LOIS|CAPPS|CA|D
111|1210|hr|Health|ANNA|ESHOO|CA|D
111|1230|hr|Health|Doris|Matsui|CA|D
111|1347|hr|Health|WILLIAM|PASCRELL|NJ|D
111|2408|hr|Health|LOIS|CAPPS|CA|D
111|2818|hr|Health|Jerry|McNerney|CA|D
111|2853|hr|Government Operations and Politics|Bruce|Braley|IA|D
111|5462|hr|Health|ROSA|DELAURO|CT|D
111|5354|hr|Health|ELIOT|ENGEL|NY|D
111|3243|hr|Government Operations and Politics|John|Sarbanes|MD|D
111|2999|hr|Animals|Tammy|Baldwin|WI|D
111|4168|hr|Taxation|Harry|Teague|NM|D
111|6401|hr|Economics and Public Finance|DAVID|DREIER|CA|R
111|6404|hr|Health|Kendrick|Meek|FL|D
111|6402|hr|Energy|JOHN|LARSON|CT|D
111|6403|hr|Economics and Public Finance|JERRY|LEWIS|CA|R
111|6351|hr|Science, Technology, Communications|JAMES|LANGEVIN|RI|D
111|6326|hr|Transportation and Public Works|Charles|Dent|PA|R
111|6293|hr|Emergency Management|Laura|Richardson|CA|D
111|6275|hr|Transportation and Public Works|Edward|Markey|MA|D
111|6389|hr|Health|EDOLPHUS|TOWNS|NY|D
111|6377|hr|Armed Forces and National Security|NICK|RAHALL|WV|D
111|6369|hr|Armed Forces and National Security|Glenn|Nye|VA|D
111|6349|hr|Armed Forces and National Security|Doug|Lamborn|CO|R
111|6279|hr|Armed Forces and National Security|Gabrielle|Giffords|AZ|D
111|6272|hr|Armed Forces and National Security|Gabrielle|Giffords|AZ|D
111|6253|hr|Armed Forces and National Security|Ted|Poe|TX|R
111|6238|hr|Armed Forces and National Security|Paul|Tonko|NY|D
111|6230|hr|Armed Forces and National Security|Steve|Driehaus|OH|D
111|6227|hr|Armed Forces and National Security|Gus|Bilirakis|FL|R
111|6394|hr|Animals|DON|YOUNG|AK|R
111|3619|hr|Transportation and Public Works|JAMES|OBERSTAR|MN|D
111|6366|hr|Public Lands and Natural Resources|Jerry|Moran|KS|R
111|6380|hr|Public Lands and Natural Resources|Gregorio|Sablan|MP|D
111|6344|hr|Energy|JAY|INSLEE|WA|D
111|6292|hr|Environmental Protection|Laura|Richardson|CA|D
111|6335|hr|Public Lands and Natural Resources|Martin|Heinrich|NM|D
111|6329|hr|Public Lands and Natural Resources|John|Garamendi|CA|D
111|946|hr|Government Operations and Politics|Bruce|Braley|IA|D
111|6200|hr|Social Welfare|EARL|POMEROY|ND|D
111|5450|hr|Government Operations and Politics|Diane|Watson|CA|D
111|5390|hr|Government Operations and Politics|DENNIS|KUCINICH|OH|D
111|5341|hr|Government Operations and Politics|JOHN|DINGELL|MI|D
111|4543|hr|Government Operations and Politics|ZOE|LOFGREN|CA|D
111|3219|hr|Armed Forces and National Security|BOB|FILNER|CA|D
111|6316|hr|Public Lands and Natural Resources|Dan|Boren|OK|D
111|6315|hr|Transportation and Public Works|Madeleine|Bordallo|GU|D
111|6281|hr|Water Resources Development|DOC|HASTINGS|WA|R
111|6280|hr|Public Lands and Natural Resources|Jared|Polis|CO|D
111|6046|hr|Commerce|Christopher|Lee|NY|R
111|5882|hr|Health|Tom|Graves|GA|R
111|5860|hr|Labor and Employment|Jeb|Hensarling|TX|R
111|5834|hr|Social Welfare|Theodore|Deutch|FL|D
111|5715|hr|Taxation|JOHN|LARSON|CT|D
111|5647|hr|Labor and Employment|Dean|Heller|NV|R
111|5944|hr|Transportation and Public Works|Timothy|Bishop|NY|D
111|5902|hr|Health|Linda|Sánchez|CA|D
111|5878|hr|Labor and Employment|JAMES|CLYBURN|SC|D
111|5836|hr|Immigration|SAM|GRAVES|MO|R
111|5788|hr|Labor and Employment|Shelley|Capito|WV|R
111|5785|hr|Labor and Employment|Carol|Shea-Porter|NH|D
111|5749|hr|Labor and Employment|GEORGE|MILLER|CA|D
111|5631|hr|Labor and Employment|ALCEE|HASTINGS|FL|D
111|6029|hr|Crime and Law Enforcement|Keith|Ellison|MN|D
111|5963|hr|Education|CAROLYN|MCCARTHY|NY|D
111|5946|hr|Education|LEONARD|BOSWELL|IA|D
111|5847|hr|Education|Timothy|Walz|MN|D
111|5817|hr|Education|JOHN|LEWIS|GA|D
111|5812|hr|Education|Peter|Welch|VT|D
111|5806|hr|Education|Chellie|Pingree|ME|D
111|5747|hr|Crime and Law Enforcement|BOBBY|RUSH|IL|D
111|5738|hr|Education|NICK|RAHALL|WV|D
111|5654|hr|Labor and Employment|JIM|MCDERMOTT|WA|D
111|5628|hr|Education|CAROLYN|MCCARTHY|NY|D
111|6036|hr|Education|RUSH|HOLT|NJ|D
111|5974|hr|Education|John|Salazar|CO|D
111|5929|hr|Education|Jared|Polis|CO|D
111|5855|hr|Labor and Employment|Al|Green|TX|D
111|5760|hr|Education|Charlie|Melancon|LA|D
111|5708|hr|Labor and Employment|EDOLPHUS|TOWNS|NY|D
111|6078|hr|Education|LYNN|WOOLSEY|CA|D
111|6004|hr|Education|Carol|Shea-Porter|NH|D
111|5989|hr|Education|Jared|Polis|CO|D
111|5886|hr|Education|NITA|LOWEY|NY|D
111|5843|hr|Education|RICK|LARSEN|WA|D
111|5753|hr|Education|Andre|Carson|IN|D
111|5671|hr|Education|Linda|Sánchez|CA|D
111|3980|hr|Emergency Management|Henry|Cuellar|TX|D
111|3689|hr|Public Lands and Natural Resources|NICK|RAHALL|WV|D
111|3553|hr|Housing and Community Development|Ann|Kirkpatrick|AZ|D
111|2923|hr|Crime and Law Enforcement|BART|GORDON|TN|D
111|6271|hr|Public Lands and Natural Resources|Jason|Chaffetz|UT|R
111|6270|hr|Government Operations and Politics|DALE|KILDEE|MI|D
111|714|hr|Public Lands and Natural Resources|DONNA|CHRISTENSEN|VI|D
111|1177|hr|Finance and Financial Sector|DENNIS|MOORE|KS|D
111|553|hr|Government Operations and Politics|JANE|HARMAN|CA|D
111|2701|hr|Armed Forces and National Security|SILVESTRE|REYES|TX|D
111|1517|hr|Government Operations and Politics|ELIOT|ENGEL|NY|D
111|6221|hr|Public Lands and Natural Resources|DON|YOUNG|AK|R
