congress|bill_number|bill_type|text|economic|socio_cultural
111|3636|hr|  Services for Ending Long-Term Homelessness Act - Amends the Public Health Service Act to require the Secretary of Health and Human Services (HHS), acting through the Administrator of Substance Abuse and Mental Health Services Administration, to design national strategies for providing services in supportive housing that will assist in ending chronic homelessness and to implement programs that address chronic homelessness.   Requires the Secretary to make matching grants to eligible entities to provide services that promote recovery and self-sufficiency and that address barriers to housing stability to chronically homeless individuals and families in, or who are scheduled to become residents of, permanent supportive housing and to other individuals and families who have voluntarily chosen to seek other housing opportunities after a period of tenancy in supportive housing.   Directs the Secretary to require grantees to report data regarding the performance outcomes of projects carried out under this Act, which shall include measuring and reporting specific performance outcomes related to the long-term goals of: (1) increasing stability within the community for individuals and families who have been chronically homeless; and (2) decreasing recurrence of periods of homelessness. |Non-Economic|Socio-Cultural
111|6226|hr|  Small Business Fairness Act of 2010 - Amends the Small Business Act to permit a federal agency to count toward its federal small business procurement and services contracting goals a contract between that agency and a small business teaming arrangement entity, to the extent that the obligations of such entity are performed by a qualified HUBZone small business or a small business owned and controlled by service-disabled veterans, socially and economically disadvantaged individuals, or women. Includes as a qualified HUBZone small business an Alaska Native Corporation and a small business wholly owned by one or more Indian tribal governments. |Economic|Socio-Cultural
115|4615|hr|   Garnishing for Unethical Actions to Restore Dignity Act or the GUARD Act    This bill amends the Congressional Accountability Act of 1995 (CAA) to require a Member of Congress to reimburse the Treasury for awards or settlements resulting from violations of certain CAA rights and protections against sexual harassment committed personally by the Member. |Non-Economic|Socio-Cultural
115|1406|hr|   Dog and Cat Meat Trade Prohibition Act of 2017    This bill amends the Animal Welfare Act to prohibit people from knowingly slaughtering a dog or cat for human consumption. In addition, the bill prohibits people from knowingly transporting, possessing, buying, selling, or donating: (1) a dog or cat to be slaughtered for human consumption, or (2) dog or cat parts for human consumption.   The bill subjects a violator to imprisonment for up to a year, a fine, or both.   The bill applies to conduct in or affecting interstate or foreign commerce or within the special maritime and territorial jurisdiction of the United States. |Economic|Socio-Cultural
115|1896|s|   TSA LEAP Pay Reform Act of 2017    This bill makes changes to the treatment of availability pay for federal air marshals or criminal investigators of the Transportation Security Administration.  |Economic|Non-Socio-Cultural
111|2114|hr|  Ed Walker Memorial Act for Improvements to the Energy Employees Occupational Illness Compensation Program - Amends the Energy Employees Occupational Illness Compensation Program Act of 2000 to include certain former nuclear weapons program workers in the Special Exposure Cohort under the energy employees occupational illness compensation program.    Directs the Secretary of Health and Human Services (HHS) to: (1) issue regulations for designating additional classes of employees, including those employed during a period of residual contamination, as members of the Special Exposure Cohort; and (2) determine whether workers employed at the Bethlehem Steel site in Lackawanna, New York, meet the requirements of this Act for membership in the Special Exposure Cohort.   Requires the Secretary to provide a report to Congress identifying facilities at which classes of employees were employed that meet the requirements for membership in the Special Exposure Cohort, as well as the number of classes and the number of employees in each class.  |Economic|Non-Socio-Cultural
115|1201|hr|   Equitable Access to Care and Health Act or the EACH Act    This bill amends the Internal Revenue Code to expand the religious conscience exemption under the Patient Protection and Affordable Care Act to exempt individuals who rely solely on a religious method of healing and for whom the acceptance of medical health services would be inconsistent with their religious beliefs from the requirement to purchase and maintain minimum essential health care coverage.  |Non-Economic|Socio-Cultural
115|3692|hr|   Addiction Treatment Access Improvement Act of 2017    This bill amends the Controlled Substances Act to revise the qualifications required for a practitioner to administer, dispense, or prescribe narcotic drugs for maintenance or detoxification treatment in an office-based opioid treatment program.   It increases the maximum patient limit for a qualifying practitioner who meets certain requirements. The maximum patient limit is the maximum number of patients a qualifying practitioner can treat at one time.   The bill expands qualifying practitioners to include additional nonphysician practitioners: clinical nurse specialists, certified registered nurse anesthetists, and certified nurse midwives.   It makes permanent the authorization for certain nonphysician practitioners to become qualifying practitioners. |Non-Economic|Socio-Cultural
115|5065|hr|   Protecting Our Communities from Gang Violence Act of 2018    This bill denies immigration benefits to aliens determined to be criminal gang members, criminal street gang members, or gang supporters. No such alien may file an immigration petition, affidavit of support, or be permitted to assume custodial care of an unaccompanied alien minor.   The bill, absent countervailing evidence, revokes the citizenship of an individual who:      was naturalized after December 24, 1952, and     within 10 years after naturalization becomes a member of a criminal gang or other organization in which membership at the time of naturalization would have prohibited such individual's naturalization.    |Non-Economic|Socio-Cultural
111|3626|hr|  Exemplary Breastfeeding Support Act - Amends the Child Nutrition Act of 1966 to direct the Secretary of Health and Human Services (HHS) to implement programs in support of breastfeeding in the special supplemental nutrition program for women, infants, and children (WIC). |Non-Economic|Socio-Cultural
111|1126|s|  Air America Veterans Act of 2009 - Requires the Director of National Intelligence to report to Congress on the advisability of providing federal retirement benefits to U.S. citizens for their service prior to 1977 as employees of Air America or an associated company when such company was owned and controlled by the federal government and operated by the Central Intelligence Agency (CIA). |Economic|Socio-Cultural
115|5227|hr|   Preventing Rogue and Foreign Actors From Evading Sanctions Act     This bill directs the Department of the Treasury to report on the use of new financial technologies (e.g., digital currencies) in terrorism and other illicit activities and develop a strategy to mitigate this use.  |Non-Economic|Socio-Cultural
111|3075|hr|  National Parents Corps Act of 2009 - Directs the Administrator of the Office of Juvenile Justice and Delinquency Prevention, subject to the availability of appropriations, to award a grant to a nonprofit entity (to be known as the NPCP Nonprofit Partner) to establish a National Parents Corps program to promote safety and combat youth violence and substance abuse in public middle or secondary schools.   Requires the NPCP Nonprofit Partner to: (1) select for program participation annually schools that agree to host a Parent Leader for a number of years equal to the number of grade levels they offer; and (2) employ, after a background check, a Parent Leader from among the parents of students enrolled in the lowest grade at each participating school to work on a full-time basis with students, other parents, and school officials to treat, prevent, and reduce violence and drug, alcohol, and tobacco addiction among students.   Urges participating schools to take the measures necessary to secure funding for the employment of Parent Leaders after federal funding becomes unavailable. |Non-Economic|Socio-Cultural
115|301|hr|   NIST Plumbing Research Act of 2017    This bill directs the National Institute of Standards and Technology (NIST) to:     establish or designate a laboratory to conduct research on premise plumbing in relation to water safety, security, efficiency, sustainability, and resilience;   conduct an organizational review of all research and other activities related to premise plumbing conducted by federal entities; and    appoint one or more officers or employees of the NIST to liaise with non-federal entities that are conducting research or other activities related to premise plumbing.      The bill defines  premise plumbing  as the water distribution system within the property lines of a property, including all buildings and permanent structures on such property. This term also includes building supply and distribution pipes, fixtures, fittings, water heaters, water-treating and water-using equipment, and all respective joints, connections, devices, and appurtenances.  |Non-Economic|Non-Socio-Cultural
111|4803|hr|  Patients' Right to Know Act - Requires each entity offering a health benefits plan to make available to enrollees and potential enrollees specified information, including covered items and services, a list of limitations and restrictions, the claims appeal process, out-of-pocket cost-sharing, among other things.    Amends title XIX (Medicaid) of the Social Security Act to require the state Medicaid plan to provide that the state will establish and maintain laws to require disclosure to the public and the Secretary of information on hospital and ambulatory surgical center prices and quality. |Non-Economic|Socio-Cultural
115|742|hr|  This bill declares that the memorandum titled  Presidential Memorandum Regarding the Hiring Freeze  published on January 23, 2017, or any other action by the President to prevent a department or agency from filling vacant civilian employee positions or creating new such positions, shall have no force or effect with respect to any Department of Defense (DOD) civilian position under which an employee performs a DOD function at a public shipyard or a DOD function that directly supports a public shipyard. |Economic|Non-Socio-Cultural
111|3691|hr|  Seniors and Veterans Economic Stimulus Act of 2009 - Amends the American Recovery and Reinvestment Act of 2009 to extend through the first three months of 2010 the Secretary of the Treasury's authority to make a payment of $250 to each eligible individual age 18 or over who, during the three-month period immediately preceding enactment of such Act (for purposes of payments made for calendar year 2009), or the three-month period beginning with December 2009 (for purposes of payments made for calendar year 2010), was entitled to Social Security benefits, Supplemental Security Income (SSI) benefits, railroad retirement benefits, or veterans disability compensation or pension benefits.   Repeals the limitation to one payment only to an individual regardless of whether the individual is entitled to, or eligible for, more than one benefit or cash payment. Entitles such individual to a payment in each of calendar years 2009 and 2010.   Rescinds from the unobligated balance of the discretionary appropriations made available by division A of such Act the amount determined by the Director of the Office of Management and Budget (OMB) to be required to offset the increase in spending resulting from this Act. |Economic|Socio-Cultural
111|391|hr|  Amends the Clean Air Act to: (1) exclude from the definition of the term  air pollutant  carbon dioxide, water vapor, methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, or sulfur hexafluoride; and (2) declare that nothing in the Act shall be treated as authorizing or requiring the regulation of climate change or global warming. |Non-Economic|Socio-Cultural
111|1144|s|  Rural Transit Improvement and Flexibility Act of 2009 - Revises the apportionment of nonurbanized formula grants for amounts remaining after apportionment for grants to Indian tribes for public transportation on Indian reservations for FY2006-FY2009. Increases from 20% to 25% the amount of remaining funds to be apportioned to a state based on its land area. Decreases correspondingly from 80% to 75% the amount of remaining funds to be apportioned to a state based on population in nonurbanized areas.   Limits to 25% of its apportionment for a formula grant for a capital project for the special needs of elderly individuals and individuals with disabilities the amount a state may use for operating costs of equipment and facilities.   Limits a grant for operating assistance from exceeding 50% of the net operating project costs. Increases such limit to 62.5% of the government share of project costs in the case of a state containing nontaxable Indian lands, individual and tribal, and public domain lands (both reserved and unreserved), national forests, and national parks and monuments.   Requires the Secretary of Transportation to establish a pilot program for the award of grants to states to establish transit centers to improve transit service (buses and other transit vehicles) in urbanized areas with a population of less than 200,000 and in nonurbanized areas. |Economic|Non-Socio-Cultural
111|1676|s|  Affordable Housing Preservation and Revitalization Act of 2009 - Amends the United States Housing Act of 1937 to direct the Secretary of Housing and Urban Development (HUD) to ensure that funds in the residual receipts account of an eligible multifamily housing property are transferred, at the time of a qualified sale or exchange, to preservation entities.   Requires that funds in the residual receipts account be used, subject to housing agency approval, to: (1) pay for rehabilitation costs approved by the housing agency; (2) deposit funds into the property's replacement reserve account; and (3) pay for social and other services, associated acquisition costs, and any other costs that have been approved by the housing agency and will directly benefit such tenants.   Defines  preservation entity  as: (1) a nonprofit tax-exempt corporation; or (2) a limited partnership or limited liability company where the sole general partner or sole managing member of such ownership entity is a nonprofit tax-exempt corporation; and (3) that has the capacity to acquire and preserve an eligible multifamily housing property.   States that, for purposes of the low-income housing credit under the Internal Revenue Code, residual receipts used or transferred under this Act shall not be considered federal funds. |Economic|Non-Socio-Cultural
115|690|s|   HUBZone Investment Protection Act    This bill amends the Small Business Act with respect to Historically Underutilized Business Zones (HUBZones) located in qualified census tracts, qualified nonmetropolitan counties, or redesignated areas, which are census tracts or nonmetropolitan counties that cease to meet the ordinary criteria for the HUBZone program but are  redesignated  to qualify for it.   The bill increases the length of time a census tract or nonmetropolitan county may be redesignated to qualify for HUBZone status from three years to seven years after the date on which the area ceased to meet the ordinary criteria. |Economic|Non-Socio-Cultural
111|6196|hr|  Reduces from 180 days to 90 days after publication of a final action notice in the Federal Register the deadline for filing a claim seeking judicial review of a permit, license, or approval issued by a federal agency for a highway or public transportation capital project. |Non-Economic|Non-Socio-Cultural
115|1894|hr|  This bill authorizes the construction and operation of a bridge (Riverside Bridge Project) on certain property conveyed to Christian County, Missouri, by the Riverside Inn, Inc.    The county shall:     carryout the project in a manner that ensures that no flood damage occurs, and   be liable for any such flood damage that does occur.     No federal disaster assistance may be provided with respect to the covered property or project. |Economic|Non-Socio-Cultural
111|2991|hr|  Department of Transportation Bonding Assistance Authority Act of 2009 - Replaces the mandate for the Minority Resource Center to provide bonding assistance to disadvantaged business enterprises.    Authorizes the Secretary of Transportation, acting through the Minority Resource Center, to prescribe, guarantee, and enter into commitments to guarantee a surety against loss resulting from a small business concern's breach of a bond that is required for it to bid on or perform a transportation project contract, pay on the contract, or serve as a prime contractor or subcontractor on such contract.   Authorizes the Secretary to indemnify such a surety up to 90% of any loss sustained by it in avoiding or attempting to avoid a breach of a bond guaranteed under this Act.   Requires the Secretary to establish a program under which not more than five selected states may carry out: (1) the activities of the Secretary with respect to issuing surety guarantees; as well as (2) the activities of sureties to assist eligible small business concerns. |Economic|Socio-Cultural
111|369|hr|  California Desert and Mountain Heritage Act of 2009 - Designates the following lands in California as wilderness: (1) certain Bureau of Land Management (BLM) lands in the Cleveland National Forest, to be part of the Agua Tibia Wilderness; (2) specified lands in the San Bernardino National Forest to be known as the Cahuilla Mountain Wilderness and the South Fork San Jacinto Wilderness and certain BLM land in such Forest as part of the Santa Rosa Wilderness; (3) certain BLM land in Riverside County, to be known as the Beauty Mountain Wilderness; (4) certain land in Joshua Tree National Park, to be part of the Joshua Tree Wilderness; (5) certain BLM land in the county as part of the Orocopia Mountains Wilderness (excluding specified corridors); (6) certain BLM land in the county as part of the Palen/McCoy Wilderness; (7) certain BLM land in the county to be known as the Pinto Mountains Wilderness; and (8) certain BLM land in the county as part of the Chuckwalla Mountains Wilderness.    Designates certain lands in the Joshua Tree National Park as potential wilderness. Requires the Secretary of the Interior to manage such land as wilderness until it is incorporated into the Joshua Tree Wilderness, effective when the Secretary publishes notice that all uses of the land prohibited by the Wilderness Act have ceased and that sufficient inholdings have been acquired to establish a manageable wilderness unit.   Provides for access to the Cahuilla Mountain Wilderness by Indian tribes for traditional cultural purposes.   Amends the Wild and Scenic Rivers Act to designate as wild, scenic, or recreational rivers specified segments of the North Fork San Jacinto River, Fuller Mill Creek, Palm Canyon Creek, and Bautista Creek in California.    Amends the Santa Rosa and San Jacinto Mountains National Monument Act of 2000 to include additional lands within the boundaries of the Santa Rosa and San Jacinto Mountains National Monument.  |Non-Economic|Socio-Cultural
115|6531|hr|   Online Credit Card Disclosure Act of 2018     This bill amends the Truth in Lending Act to revise disclosure requirements for an open end consumer credit plan (credit card). Specifically, creditors must include repayment information applicable to the consumer's outstanding credit card balance on an online interface used to make a payment.  |Economic|Non-Socio-Cultural
111|2579|s|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on certain knit-to-shape sweaters for men, of cotton.|Economic|Non-Socio-Cultural
111|992|hr|  James Madison Memorial Commission Act of 2009 - Establishes the James Madison Memorial Commission to plan for the design and construction of a memorial in Washington, D.C., as a tribute to the many accomplishments of James Madison, who was the fourth President of the United States. |Non-Economic|Socio-Cultural
111|1839|hr|  Amends the Small Business Act relating to the Service Corps of Retired Executives (SCORE) to require the Administrator of the Small Business Administration (SBA) to ensure that SCORE: (1) carries out a plan to increase the proportion of small business mentors from socially or economically disadvantaged backgrounds, and reports annually to the Administrator on plan implementation; (2) establishes benchmarks for evaluating its activities and volunteers; and (3) establishes a mentoring program of one-on-one advice to small businesses from qualified counselors.   Renames the Service Corps of Retired Executives as SCORE. Eliminates the Active Corps of Executives.   Authorizes appropriations for SCORE for FY2010-FY2011. |Economic|Socio-Cultural
115|3244|s|   Federal Employees Sustainable Investment Act      This bill establishes a new fund the Corporate Responsibility Stock Index Fund as an investment option under the Thrift Savings Plan.    The Corporate Responsibility Stock Index Fund must be invested in a stock portfolio designed to replicate the performance of a commonly recognized, passively managed index comprised of stocks that meet certain minimum criteria related to corporate responsibility. |Economic|Non-Socio-Cultural
115|371|hr|   Presidential Conflicts of Interest Act of 2017    This bill requires the President and Vice President to submit to Congress and the Office of Government Ethics a disclosure of financial interests.   Among the contents of such disclosure, the President and Vice President shall: (1) include a detailed description of each financial interest of the President and Vice President, the spouse of the President and Vice President, or a minor child of the President and Vice President; and (2) include the tax returns filed by or on behalf of the President and Vice President for the three most recent taxable years.   The President, the Vice President, the spouse of the President or Vice President, and any minor child of the President or Vice President must divest any financial interest posing a potential conflict of interest by transferring such interest to a qualified blind trust.   Within a reasonable period of time after such financial interest is transferred to a qualified blind trust, the trustee of such trust shall: (1) sell the financial interest; and (2) use the proceeds from the sale of the financial interest to purchase conflict-free holdings.   The Office of Government Ethics shall submit to Congress, the President, and the Vice President an annual report regarding the financial interests of such officials, their spouses, and any of their minor children.   The Attorney General, the attorney general of any state, or any person aggrieved by a violation of divestiture requirements posing a potential conflict of interest may seek declaratory or injunctive relief if: (1) the Office of Government Ethics is unable to issue a report indicating whether the President or Vice President is in substantial compliance with such divestiture requirements; or (2) there is probable cause to believe the President or the Vice President has not complied with such requirements.   The bill amends the federal criminal code to require the recusal of presidential appointees from decisions affecting the financial holdings of a President or the spouse of a President. Prohibitions pertaining to contracts entered into by Members of Congress are extended to contracts by the President or Vice President.   The bill amends the Ethics in Government Act of 1978 to require the disclosure of tax returns by the incumbent President and presidential nominees of a major political party for the three most recent taxable years.   The bill declares the sense of Congress that a violation of the divestiture requirements of this bill or the Ethics in Government in Government Act of 1978 by the President or the Vice President would constitute a high crime or misdemeanor. |Economic|Non-Socio-Cultural
115|2805|s|   Sexual Trauma Response and Treatment Act of 2018 or the START Act of 2018    This bill authorizes the Department of Defense to carry out a pilot program to assess the feasibility and advisability of using intensive outpatient programs to treat members of the Armed Forces suffering from post-traumatic stress disorder resulting from military sexual trauma, including treatment for substance abuse, depression, and other issues related to such conditions. |Non-Economic|Socio-Cultural
111|1984|s|Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on certain used fuel pumps used in remanufacture.|Economic|Non-Socio-Cultural
115|2004|s|   Combating the Opioid Epidemic Act    This bill amends the 21st Century Cures Act to provide additional funds through FY2027 for state grants to address the opioid abuse crisis.   The bill provides funds to the Department of Health and Human Services through FY2022 for state grants to conduct research on addiction and pain related to substance misuse. |Non-Economic|Socio-Cultural
111|5493|hr|   Authorizes the President to invite the District of Columbia to provide and furnish up to two statues, in marble or bronze, of deceased persons who have been District citizens, and illustrious for their historic renown or for distinguished civic or military services, such as the District may deem to be worthy of this national commemoration. Requires the statues to be placed in Statuary Hall in the U.S. Capitol.    Prohibits a statue of any individual from being placed in Statuary Hall until 10 years after the individual's death.   Prescribes requirements and administrative procedures for replacement of such statues.  |Non-Economic|Non-Socio-Cultural
111|3159|hr|  Small Airport Relief Act of 2009 - Requires the Secretary of Transportation for FY2011 and FY2012 to apportion amounts for airport planning and development and noise compatibility planning and programs to sponsors of primary airports based on the number of passenger boardings at the airport in calendar year 2008 if it had: (1) fewer than 10,000 passenger boardings in the calendar year used to calculate the apportionment for that fiscal year; and (2) 10,000 or more passenger boardings in calendar year 2008. |Non-Economic|Non-Socio-Cultural
111|5572|hr|  Oil Spill Prevention Act of 2010 - Establishes in the Department of the Interior the Minerals Management Service with the following components: (1) an Office of Leasing and Permitting, which shall perform functions relating to the leasing of areas of the outer Continental Shelf (OCS) and the issuance of activity permits under such leases that were vested in the Minerals Management Service (MMS) (or its Director) on May 19, 2010; (2) an Office of Inspection, which shall perform functions relating to vessel and facility inspection that were vested in the MMS (or its Director) on that date; and (3) an Office of Revenue, which shall perform functions relating to the collection of OCS lease revenue that were vested in the MMS (or its Director) on such date.   Requires the Secretary of the Interior to issue regulations that require each MMS employee to be subject to random testing for the use of a controlled substance at least twice a year.   Prohibits, during the two-year period beginning on an individual's departure from MMS employment, the employment of such individual by any person conducting any activity under a lease or permit issued by MMS or subject to MMS regulation.   Directs the Secretary, acting through MMS, to inspect monthly each vessel and facility used for OCS oil or gas drilling.   Prohibits the Secretary from exempting any category of vessel or facility activity in OCS oil or gas drilling in waters deeper than 1,000 feet from any applicable federal requirement or restriction.   Amends the Oil Pollution Act of 1990 to repeal the liability limits applicable to a responsible party for discharge of oil from an offshore facility.  |Non-Economic|Non-Socio-Cultural
115|2281|s|  This bill amends the Internal Revenue Code to make permanent provisions included in P.L. 115-97 (commonly known as the Tax Cuts and Jobs Act) that: (1) reduced the individual tax rates, and (2) modified the taxation of the unearned income of children. The existing individual tax rates (10%, 12%, 22%, 24%, 32%, 35%, and 37%) are currently scheduled to expire and revert to higher rates at the end of 2025.  |Economic|Non-Socio-Cultural
111|2682|s|Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Pyrimethanil.|Economic|Non-Socio-Cultural
111|873|s|  Nunn-Lugar Cooperative Threat Reduction Improvement Act of 2009 - Prohibits more than 10% of amounts appropriated or otherwise made available in any fiscal year for Department of Defense (DOD) Cooperative Threat Reduction (CTR) programs from being expended to promote bilateral and multilateral activities relating to nonproliferation and disarmament. Requires the Secretary of Defense to notify the congressional defense, appropriations, and foreign relations committees at least 15 days before expending funds under such authority.   Expresses the sense of the Senate that: (1) continued expansion of CTR programs requires increased cooperation with all unified combatant commands in which such activities are carried out; and (2) DOD should undertake a review of CTR contracting procedures, umbrella agreements, and program metrics to ensure that they are being undertaken consistently with CTR program urgency and necessity.   Establishes in the Treasury the Cooperative Threat Reduction Partnership Account, to be used for CTR programs without further specific authorization in law. |Non-Economic|Non-Socio-Cultural
111|3011|s|  National Black Clergy for the Elimination of HIV/AIDS Act of 2009  [sic]  - Authorizes the Director of the Office of Minority Health of the Department of Health and Human Services (HHS) to make grants to public health agencies and faith-based organizations to conduct HIV/AIDS prevention, testing, and related outreach activities to reduce HIV/AIDS in the African-American community.    Authorizes the Administrator of the Substance Abuse and Mental Health Services Administration to: (1) make grants to public health agencies and faith-based organizations to conduct HIV/AIDS and sexually transmitted disease outreach, prevention, and testing activities targeted to the African-American community; and (2) provide family reunification services, mental health counseling, HIV/AIDS, sexually transmitted disease, and substance abuse testing and treatment to runaway or homeless youth or youth who are HIV positive or at risk for HIV/AIDS.   Authorizes the Director of the Centers for Disease Control and Prevention (CDC) to: (1) make grants to faith-based organizations for public health intervention and prevention activities in the African-American community to reduce HIV/AIDS, sexually transmitted diseases, tuberculosis, and viral hepatitis; (2) expand and intensify HIV/AIDS activities in that community; (3) expand funding to build the capacity of African-American communities to respond to HIV/AIDS; and (4) implement a national media outreach campaign to urge sexually active individuals to be tested for and know their HIV/AIDS status.   Authorizes the Director of the National Institutes of Health (NIH) to research strategies to reduce the transmission of HIV/AIDS in the African-American community.   Authorizes the Director of the National Center on Minority Health and Health Disparities to make grants for the study of biological and behavioral factors that lead to increased HIV/AIDS prevalence in the African-American community.    Amends the Public Health Service Act to authorize the Administrator of the Health Resources and Services Administration to award grants to health care professionals to treat individuals with HIV/AIDS.    Directs the Secretary of Health and Human Services to: (1) submit an annual report to Congress and the President on the impact of HIV/AIDS in the African-American community; and (2) study and report on the status of the HIV/AIDS epidemic among African-Americans.   Expresses the sense of Congress with respect to: (1) National Black Clergy HIV/AIDS Awareness Sunday; (2) prevention of, testing for, and treatment of HIV/AIDS by all federal agencies; and (3) HIV testing of federal inmates by the Bureau of Prisons.  |Non-Economic|Socio-Cultural
111|2239|s|Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Metconazole.|Economic|Non-Socio-Cultural
111|303|hr|  Retired Pay Restoration Act - Expresses the sense of Congress that military retired pay should not be reduced because a military retiree is also eligible for veterans' disability compensation awarded for a service-connected disability.   Allows the receipt of both military retired pay and veterans' disability compensation with respect to any service-connected disability (under current law, only a disability rated at 50% or more). Repeals provisions phasing in the full concurrent receipt of such pay through December 31, 2013.   Makes eligible for the full concurrent receipt of both veterans' disability compensation and either military retired pay or combat-related special pay those individuals who were retired or separated from military service due to a service-connected disability. |Economic|Socio-Cultural
115|89|s|  This bill revises the requirements for passenger vessels that are exempt from fire-retardant materials standards.   Vessels in operation before January 1, 1968, that operate within inland waterways are exempted from the new requirements until December 1, 2028. Exempt vessel operators must follow certain requirements including notifying prospective passengers in writing prior to the sale of any ticket for boarding and making annual structural alterations to at least 10% of areas of the vessel that are not constructed of fire-retardant materials.   Additionally, the Department of Transportation (DOT)	must conduct an annual inspection of any vessel that is exempted from fire-retardant materials standards.	DOT	may withdraw a certificate of inspection for any vessel that does not comply with requirements under this bill. |Non-Economic|Non-Socio-Cultural
111|911|s|  Promoting Mortgage Responsibility Act - Amends the Truth in Lending Act to prohibit prepayment fees or penalties under any consumer credit transaction secured by the consumer's owner-occupied principal dwelling.    Makes any prepayment penalty in violation of this prohibition unenforceable. |Economic|Non-Socio-Cultural
